patient,recovered,deceased,total_confirmed,test_negative,test_accumulate,test_under_exam,test_total,date
"7,382",166,51,"7,599","-","-","17,458","-",Mon Mar  9 13:41:29 2020
"-","-","-","-","-","-","-","-",Tue Mar 10 13:41:29 2020
"7,407",288,60,"7,755","196,100","203,855","18,540","222,395",Wed Mar 11 15:16:21 2020
"7,470",333,66,"7,869","209,402","217,271","17,727","234,998",Thu Mar 12 15:47:56 2020
"7,402",510,67,"7,979","222,728","230,707","17,940","248,647",Fri Mar 13 14:53:04 2020
"7,300",714,72,"8,086","235,615","243,701","17,634","261,335",Sat Mar 14 08:28:57 2020
"7,253",834,75,"8,162","243,778","251,940","16,272","268,212",Sun Mar 15 02:02:30 2020
"7,024","1,137",75,"8,236","251,297","259,533","14,971","274,504",Mon Mar 16 11:10:30 2020
"6,789","1,540",84,"8,413","270,888","279,301","16,346","295,647",Wed Mar 18 13:29:56 2020
"6,527","1,947",91,"8,565","282,555","291,120","15,904","307,024",Thu Mar 19 13:39:33 2020
"6,325","2,233",94,"8,652","292,487","301,139","15,525","316,664",Fri Mar 20 10:24:43 2020
"6,085","2,612",102,"8,799","303,006","311,805","15,704","327,509",Sat Mar 21 02:22:08 2020
"5,884","2,909",104,"8,897","308,343","317,240","14,540","331,780",Sun Mar 22 04:07:08 2020
"5,684","3,166",111,"8,961","315,447","324,408","13,628","338,036",Mon Mar 23 13:40:27 2020
"5,410","3,507",120,"9,037","324,105","333,142","15,440","348,582",Tue Mar 24 13:25:14 2020
"5,281","3,730",126,"9,137","334,481","343,618","14,278","357,896",Wed Mar 25 10:54:19 2020
"4,966","4,144",131,"9,241","341,332","350,573","14,369","364,942",Thu Mar 26 13:37:34 2020
"4,665","4,528",139,"9,332","352,410","361,742","15,219","376,961",Fri Mar 27 10:29:02 2020
