"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
World,"1,518,719",+759,"88,502",+47,"330,589","1,099,628","48,079",195,11.4,,
USA,"435,128",+201,"14,795",+7,"22,891","397,442","9,279","1,315",45,"2,209,041","6,674"
Spain,"148,220",,"14,792",,"48,021","85,407","7,069","3,170",316,"355,000","7,593"
Italy,"139,422",,"17,669",,"26,491","95,262","3,693","2,306",292,"807,125","13,349"
Germany,"113,296",,"2,349",,"46,300","64,647","4,895","1,352",28,"1,317,887","15,730"
France,"112,950",,"10,869",,"21,254","80,827","7,148","1,730",167,"224,254","3,436"
Iran,"64,586",,"3,993",,"29,812","30,781","3,987",769,48,"211,136","2,514"
UK,"60,733",,"7,097",,135,"53,501","1,559",895,105,"282,074","4,155"
Turkey,"38,226",,812,,"1,846","35,568","1,492",453,10,"247,768","2,938"
Belgium,"23,403",,"2,240",,"4,681","16,482","1,276","2,019",193,"84,248","7,269"
Switzerland,"23,280",,895,,"9,800","12,585",391,"2,690",103,"171,938","19,867"
Netherlands,"20,549",,"2,248",,250,"18,051","1,424","1,199",131,"101,534","5,926"
Canada,"19,438",,427,,"4,548","14,463",426,515,11,"361,969","9,591"
Brazil,"16,188",,820,,127,"15,241",296,76,4,"54,824",258
Portugal,"13,141",,380,,196,"12,565",245,"1,289",37,"128,784","12,630"
Austria,"12,942",,273,,"4,512","8,157",267,"1,437",30,"120,755","13,408"
S. Korea,"10,423",+39,204,+4,"6,973","3,246",55,203,4,"477,304","9,310"
Israel,"9,404",,73,,801,"8,530",147,"1,086",8,"117,339","13,557"
Russia,"8,672",,63,,580,"8,029",8,59,0.4,"910,221","6,237"
Sweden,"8,419",,687,,205,"7,527",678,834,68,"54,700","5,416"
Ireland,"6,074",,235,,25,"5,814",165,"1,230",48,"42,484","8,604"
Australia,"6,052",,50,,"2,813","3,189",87,237,2,"319,784","12,541"
Norway,"6,042",,101,,32,"5,909",78,"1,115",19,"113,896","21,009"
India,"5,916",,178,,506,"5,232",,4,0.1,"167,235",121
Chile,"5,546",,48,,"1,115","4,383",362,290,3,"60,391","3,159"
Denmark,"5,402",,218,,"1,621","3,563",127,933,38,"64,002","11,050"
Czechia,"5,312",,99,,233,"4,980",103,496,9,"98,681","9,215"
Poland,"5,205",,159,,222,"4,824",160,138,4,"99,284","2,623"
Romania,"4,761",,220,,528,"4,013",162,247,11,"47,207","2,454"
Japan,"4,667",,94,,632,"3,941",99,37,0.7,"55,311",437
Ecuador,"4,450",,242,,140,"4,068",146,252,14,"14,406",817
Peru,"4,342",,121,,"1,333","2,888",113,132,4,"39,599","1,201"
Pakistan,"4,263",,61,,467,"3,735",25,19,0.3,"42,159",191
Malaysia,"4,119",,65,,"1,487","2,567",76,127,2,"58,240","1,799"
Philippines,"3,870",,182,,96,"3,592",1,35,2,"24,500",224
Mexico,"3,181",+396,174,+33,633,"2,374",89,25,1,"25,410",197
Luxembourg,"3,034",,46,,500,"2,488",34,"4,847",73,"26,573","42,450"
Indonesia,"2,956",,240,,222,"2,494",,11,0.9,"14,354",52
Saudi Arabia,"2,932",,41,,631,"2,260",41,84,1,,
Serbia,"2,666",,65,,118,"2,483",112,305,7,"10,761","1,232"
UAE,"2,659",,12,,239,"2,408",1,269,1,"593,095","59,967"
Panama,"2,528",,63,,16,"2,449",101,586,15,"11,776","2,729"
Finland,"2,487",,40,,300,"2,147",82,449,7,"36,500","6,588"
Thailand,"2,369",,30,,888,"1,451",61,34,0.4,"71,860","1,030"
Qatar,"2,210",,6,,178,"2,026",37,767,2,"41,818","14,515"
Dominican Republic,"2,111",,108,,50,"1,953",147,195,10,"4,542",419
Colombia,"2,054",,55,,123,"1,876",76,40,1,"33,575",660
Greece,"1,884",,83,,269,"1,532",84,181,8,"32,528","3,121"
South Africa,"1,845",,18,,95,"1,732",7,31,0.3,"63,776","1,075"
Argentina,"1,795",,65,,358,"1,372",96,40,1,"13,330",295
Ukraine,"1,668",,52,,35,"1,581",33,38,1,"7,205",165
Singapore,"1,623",,6,,406,"1,211",29,277,1,"65,000","11,110"
Iceland,"1,616",,6,,633,977,13,"4,736",18,"30,947","90,689"
Algeria,"1,572",,205,,237,"1,130",46,36,5,"3,359",77
